"fam_time","stimulus_type","dv_zscore","subjID","labID","age","age_mos","subjInt","labInt","trial_num","trial_num_sc"
0,"high",-2.5,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,1,-1.66129773257234
1,"high",-2.5,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,2,-1.51683706017475
1,"high",-1.35460433294644,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,3,-1.37237638777715
1,"high",-1.17608323408686,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,4,-1.22791571537956
1,"low",-1.53272784477999,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,5,-1.08345504298196
0,"low",-1.5210783822621,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,6,-0.938994370584366
0,"low",-2.5,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,7,-0.794533698186772
-1,"high",-2.5,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,8,-0.650073025789177
-1,"high",-1.8647188328976,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,9,-0.505612353391582
-1,"high",-2.5,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,10,-0.361151680993987
0,"high",-0.547224707240015,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,11,-0.216691008596392
1,"low",-1.63603878670852,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,12,-0.0722303361987974
1,"high",-2.04651631263742,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,13,0.0722303361987974
1,"low",-2.5,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,14,0.216691008596392
-1,"high",-2.5,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,15,0.361151680993987
-1,"low",-0.259675295039807,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,16,0.505612353391582
1,"low",-2.37093708294574,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,17,0.650073025789177
-1,"low",-2.5,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,18,0.794533698186772
0,"low",-1.4049869017158,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,19,0.938994370584366
-1,"low",-1.86440102232969,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,20,1.08345504298196
0,"high",-1.01482329769181,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,21,1.22791571537956
0,"high",-2.04442743943843,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,22,1.37237638777715
-1,"low",-1.18303993091295,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,23,1.51683706017475
0,"low",-2.5,"1","1",-0.315479621831113,7.96179883182049,-1.06782370598685,-0.749725786852189,24,1.66129773257234
1,"high",-0.142374485725089,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,1,-1.66129773257234
0,"high",-1.5818759779444,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,2,-1.51683706017475
0,"high",-1.07640309750001,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,3,-1.37237638777715
1,"low",-0.712771040870232,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,4,-1.22791571537956
0,"low",-2.39552163299261,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,5,-1.08345504298196
0,"low",1.11057424560064,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,6,-0.938994370584366
1,"low",0.0207379569800614,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,7,-0.794533698186772
1,"low",-0.727585822867497,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,8,-0.650073025789177
-1,"high",-2.5,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,9,-0.505612353391582
1,"low",-0.020908432857323,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,10,-0.361151680993987
0,"high",0.261685184223072,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,11,-0.216691008596392
0,"high",-0.470841558748085,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,12,-0.0722303361987974
0,"low",-0.793560024736797,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,13,0.0722303361987974
-1,"low",-2.02813571851902,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,14,0.216691008596392
-1,"low",-2.5,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,15,0.361151680993987
1,"high",-0.429842888348333,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,16,0.505612353391582
1,"high",1.15339719239243,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,17,0.650073025789177
-1,"low",-1.32153918149702,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,18,0.794533698186772
0,"low",-2.43125742633484,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,19,0.938994370584366
1,"high",2.36376986773643,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,20,1.08345504298196
-1,"low",-1.89698631342083,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,21,1.22791571537956
-1,"high",-0.748451993863625,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,22,1.37237638777715
-1,"high",-0.42500090342926,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,23,1.51683706017475
-1,"high",-1.66766762316228,"2","1",-0.525760748247428,7.22100940905511,-0.217974914658295,-0.749725786852189,24,1.66129773257234
0,"low",-2.31466487123134,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,1,-1.66129773257234
1,"high",-1.42143580665035,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,2,-1.51683706017475
1,"high",-0.54999224310132,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,3,-1.37237638777715
-1,"high",-2.5,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,4,-1.22791571537956
-1,"high",-0.693726414250807,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,5,-1.08345504298196
0,"low",-2.5,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,6,-0.938994370584366
1,"high",-1.28908079783092,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,7,-0.794533698186772
-1,"high",-2.3521381338065,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,8,-0.650073025789177
-1,"high",-2.5,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,9,-0.505612353391582
-1,"low",-2.5,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,10,-0.361151680993987
-1,"low",-1.55203050362844,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,11,-0.216691008596392
0,"high",-1.29512249639007,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,12,-0.0722303361987974
0,"high",-1.47620109762705,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,13,0.0722303361987974
1,"low",-2.5,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,14,0.216691008596392
0,"low",-2.5,"3","1",1.43662446566265,14.1342033538967,-1.02600444830724,-0.749725786852189,15,0.361151680993987
